Data Series,total_deposits_from_non-bank_customer
1991-01,64379.7
1991-02,64893.4
1991-03,65503.4
1991-04,65437.0
1991-05,66470.8
1991-06,67083.0
1991-07,69023.2
1991-08,68403.5
1991-09,69314.4
1991-10,69007.3
1991-11,70483.3
1991-12,72241.1
1992-01,71821.8
1992-02,72773.9
1992-03,74338.4
1992-04,74706.2
1992-05,75753.7
1992-06,76303.2
1992-07,77192.4
1992-08,77567.0
1992-09,78157.1
1992-10,78292.8
1992-11,78146.8
1992-12,78483.2
1993-01,77659.0
1993-02,77592.2
1993-03,78568.5
1993-04,79511.0
1993-05,80606.5
1993-06,80806.8
1993-07,80772.4
1993-08,82049.0
1993-09,83187.7
1993-10,85938.4
1993-11,85341.4
1993-12,85400.8
1994-01,84671.2
1994-02,84611.1
1994-03,86070.2
1994-04,87028.7
1994-05,88963.6
1994-06,90063.2
1994-07,91799.7
1994-08,93073.7
1994-09,95042.2
1994-10,95494.6
1994-11,97436.8
1994-12,99032.2
1995-01,99575.0
1995-02,100283.6
1995-03,100332.1
1995-04,102061.5
1995-05,103399.6
1995-06,103653.7
1995-07,102634.2
1995-08,104333.1
1995-09,104538.7
1995-10,104716.9
1995-11,106226.9
1995-12,108885.5
1996-01,108719.4
1996-02,110607.4
1996-03,110933.3
1996-04,112888.6
1996-05,114253.2
1996-06,114746.3
1996-07,115647.8
1996-08,115741.8
1996-09,115384.4
1996-10,115553.8
1996-11,117294.0
1996-12,118201.5
1997-01,118632.7
1997-02,120108.0
1997-03,120011.2
1997-04,119421.9
1997-05,119732.7
1997-06,119668.3
1997-07,121287.6
1997-08,122335.1
1997-09,121839.5
1997-10,121969.4
1997-11,123111.6
1997-12,124143.0
1998-01,124040.5
1998-02,127408.4
1998-03,130349.8
1998-04,128563.3
1998-05,129726.1
1998-06,130363.6
1998-07,133077.2
1998-08,133044.5
1998-09,133827.5
1998-10,134616.3
1998-11,159328.5
1998-12,162310.3
1999-01,162681.2
1999-02,163635.4
1999-03,165236.7
1999-04,165777.6
1999-05,168307.8
1999-06,169090.8
1999-07,169730.0
1999-08,171254.2
1999-09,170824.4
1999-10,169850.5
1999-11,170087.1
1999-12,174454.1
2000-01,174158.5
2000-02,173881.1
2000-03,174101.3
2000-04,170332.7
2000-05,170479.8
2000-06,172154.8
2000-07,170690.6
2000-08,169264.8
2000-09,166790.0
2000-10,166944.0
2000-11,169370.2
2000-12,171316.4
2001-01,174497.1
2001-02,175798.5
2001-03,177208.1
2001-04,178671.3
2001-05,178946.4
2001-06,176310.6
2001-07,172425.9
2001-08,173486.2
2001-09,176572.5
2001-10,177950.0
2001-11,183362.4
2001-12,182551.4
2002-01,181213.8
2002-02,181736.4
2002-03,184438.8
2002-04,182689.2
2002-05,182821.6
2002-06,180543.8
2002-07,180495.4
2002-08,178242.5
2002-09,177331.4
2002-10,178338.0
2002-11,181028.6
2002-12,180138.4
2003-01,180653.6
2003-02,182529.5
2003-03,184062.3
2003-04,187038.2
2003-05,188596.8
2003-06,185883.1
2003-07,186255.4
2003-08,185842.4
2003-09,184844.1
2003-10,192295.0
2003-11,193151.9
2003-12,194231.5
2004-01,199784.1
2004-02,200642.8
2004-03,201570.8
2004-04,204367.2
2004-05,205748.6
2004-06,203952.1
2004-07,204148.0
2004-08,203506.6
2004-09,200747.2
2004-10,202274.9
2004-11,205941.6
2004-12,206176.3
2005-01,205074.9
2005-02,206300.4
2005-03,210769.5
2005-04,211314.9
2005-05,213496.3
2005-06,215121.4
2005-07,217097.4
2005-08,218217.0
2005-09,219753.8
2005-10,222365.3
2005-11,223261.9
2005-12,223718.0
2006-01,221638.2
2006-02,227653.4
2006-03,231428.4
2006-04,235474.8
2006-05,243490.4
2006-06,242999.9
2006-07,244937.6
2006-08,251723.8
2006-09,253082.4
2006-10,258211.8
2006-11,264531.9
2006-12,272462.6
2007-01,276181.6
2007-02,283862.4
2007-03,290925.0
2007-04,297387.9
2007-05,303541.6
2007-06,306135.8
2007-07,305166.6
2007-08,306828.8
2007-09,308741.5
2007-10,311910.6
2007-11,314674.4
2007-12,314985.8
2008-01,315433.7
2008-02,323723.3
2008-03,330849.0
2008-04,336161.3
2008-05,334251.6
2008-06,333260.1
2008-07,337695.1
2008-08,335084.8
2008-09,341413.7
2008-10,346353.7
2008-11,345859.9
2008-12,347507.4
2009-01,351379.7
2009-02,354955.4
2009-03,364462.6
2009-04,362833.9
2009-05,364507.2
2009-06,372177.7
2009-07,375399.2
2009-08,373569.2
2009-09,377212.6
2009-10,379412.6
2009-11,384013.2
2009-12,391495.1
2010-01,393517.1
2010-02,392290.2
2010-03,401460.2
2010-04,403627.4
2010-05,404500.9
2010-06,404712.5
2010-07,408841.9
2010-08,412748.8
2010-09,418241.3
2010-10,427456.2
2010-11,432572.7
2010-12,433757.8
2011-01,437402.3
2011-02,438793.3
2011-03,444698.8
2011-04,454774.0
2011-05,457181.6
2011-06,455306.8
2011-07,464932.0
2011-08,469489.2
2011-09,473271.7
2011-10,478318.4
2011-11,483333.9
2011-12,483110.3
2012-01,487143.4
2012-02,484040.7
2012-03,492554.8
2012-04,489563.7
2012-05,492993.8
2012-06,492682.4
2012-07,498728.0
2012-08,505588.9
2012-09,503955.2
2012-10,505004.8
2012-11,512948.7
2012-12,518840.7
2013-01,527897.4
2013-02,531065.2
2013-03,536539.7
2013-04,537033.6
2013-05,540576.6
2013-06,535206.6
2013-07,538265.0
2013-08,538042.7
2013-09,536671.1
2013-10,537714.9
2013-11,536430.4
2013-12,537582.9
2014-01,543253.9
2014-02,541023.4
2014-03,549352.1
2014-04,540897.8
2014-05,536570.6
2014-06,534979.1
2014-07,538769.0
2014-08,543955.0
2014-09,544633.8
2014-10,545592.1
2014-11,547039.2
2014-12,550363.9
2015-01,552071.3
2015-02,552479.5
2015-03,558791.1
2015-04,559573.5
2015-05,555946.7
2015-06,548843.6
2015-07,548878.4
2015-08,551455.1
2015-09,562367.1
2015-10,560492.4
2015-11,561447.3
2015-12,560011.4
2016-01,559951.7
2016-02,564443.2
2016-03,573399.2
2016-04,574779.5
2016-05,574591.5
2016-06,573086.5
2016-07,579971.0
2016-08,584106.6
2016-09,586245.8
2016-10,592508.5
2016-11,596536.0
2016-12,596611.5
2017-01,599285.3
2017-02,601645.4
2017-03,609852.0
2017-04,606805.6
2017-05,607245.9
2017-06,606335.1
2017-07,608589.7
2017-08,609028.7
2017-09,606843.6
2017-10,610291.1
2017-11,607532.9
2017-12,606386.9
2018-01,607280.5
2018-02,604795.8
2018-03,613649.6
2018-04,614466.9
2018-05,615313.9
2018-06,610706.0
2018-07,617262.1
2018-08,622637.1
2018-09,621633.1
2018-10,623496.0
2018-11,624178.2
2018-12,627768.2
2019-01,636390.0
2019-02,642858.3
2019-03,652664.8
2019-04,658079.4
2019-05,660815.2
2019-06,664586.2
2019-07,666843.5
2019-08,672830.2
2019-09,674474.1
2019-10,676727.1
2019-11,682738.0
2019-12,683520.8
2020-01,693686.4
2020-02,700242.9
2020-03,715035.1
2020-04,743564.9
2020-05,735782.2
2020-06,742815.1
2020-07,748661.2
2020-08,751885.3
2020-09,747813.3
2020-10,759019.6
2020-11,764126.2
2020-12,763846.7
2021-01,765250.5
2021-02,762693.0
2021-03,779638.3
2021-04,778552.8
2021-05,777580.8
2021-06,778049.8
