Data Series,total_change_in_employment_quarterly
1991 1Q,8500.0
1991 2Q,15800.0
1991 3Q,15500.0
1991 4Q,12600.0
1992 1Q,15900.0
1992 2Q,6200.0
1992 3Q,7700.0
1992 4Q,10500.0
1993 1Q,15900.0
1993 2Q,10300.0
1993 3Q,18600.0
1993 4Q,25900.0
1994 1Q,9000.0
1994 2Q,28900.0
1994 3Q,7900.0
1994 4Q,26300.0
1995 1Q,14200.0
1995 2Q,27100.0
1995 3Q,20400.0
1995 4Q,47300.0
1996 1Q,17400.0
1996 2Q,23300.0
1996 3Q,22100.0
1996 4Q,39800.0
1997 1Q,16200.0
1997 2Q,37200.0
1997 3Q,31100.0
1997 4Q,35800.0
1998 1Q,9100.0
1998 2Q,-5900.0
1998 3Q,-20300.0
1998 4Q,-6300.0
1999 1Q,-9600.0
1999 2Q,15500.0
1999 3Q,7700.0
1999 4Q,26300.0
2000 1Q,13700.0
2000 2Q,29700.0
2000 3Q,30000.0
2000 4Q,35100.0
2001 1Q,23200.0
2001 2Q,3300.0
2001 3Q,-12500.0
2001 4Q,-14100.0
2002 1Q,-10300.0
2002 2Q,-3800.0
2002 3Q,-8500.0
2002 4Q,-300.0
2003 1Q,-4100.0
2003 2Q,-26000.0
2003 3Q,900.0
2003 4Q,16200.0
2004 1Q,13700.0
2004 2Q,10900.0
2004 3Q,14100.0
2004 4Q,32700.0
2005 1Q,17800.0
2005 2Q,31700.0
2005 3Q,28500.0
2005 4Q,35300.0
2006 1Q,45000.0
2006 2Q,36400.0
2006 3Q,43000.0
2006 4Q,51500.0
2007 1Q,49400.0
2007 2Q,64400.0
2007 3Q,58600.0
2007 4Q,62500.0
2008 1Q,73200.0
2008 2Q,71400.0
2008 3Q,55700.0
2008 4Q,21300.0
2009 1Q,-6200.0
2009 2Q,-7700.0
2009 3Q,13900.0
2009 4Q,37500.0
2010 1Q,36500.0
2010 2Q,24900.0
2010 3Q,20500.0
2010 4Q,33900.0
2011 1Q,28300.0
2011 2Q,24800.0
2011 3Q,31900.0
2011 4Q,37600.0
2012 1Q,27200.0
2012 2Q,31700.0
2012 3Q,26200.0
2012 4Q,44000.0
2013 1Q,28900.0
2013 2Q,33700.0
2013 3Q,33100.0
2013 4Q,40600.0
2014 1Q,28400.0
2014 2Q,27700.0
2014 3Q,33400.0
2014 4Q,40700.0
2015 1Q,-6100.0
2015 2Q,9700.0
2015 3Q,12600.0
2015 4Q,16100.0
2016 1Q,13000.0
2016 2Q,4200.0
2016 3Q,-2700.0
2016 4Q,2300.0
2017 1Q,-6800.0
2017 2Q,-7300.0
2017 3Q,-2300.0
2017 4Q,12700.0
2018 1Q,3700.0
2018 2Q,6500.0
2018 3Q,19300.0
2018 4Q,15900.0
2019 1Q,13800.0
2019 2Q,6800.0
2019 3Q,27500.0
2019 4Q,21600.0
2020 1Q,-25400.0
2020 2Q,-113500.0
2020 3Q,-34400.0
2020 4Q,-7800.0
2021 1Q,13900.0
2021 2Q,-19900.0
2021 3Q,-8400.0
2021 4Q,54600.0
2022 1Q,47400.0
2022 2Q,69000.0
