Data Series,GDP_current_price
1960,2157.4
1961,2340.7
1962,2529.3
1963,2809
1964,2737.2
1965,2983.6
1966,3356.4
1967,3789.9
1968,4364.4
1969,5081.3
1970,5879.3
1971,6929.9
1972,8302.3
1973,10395.6
1974,12831.4
1975,13728.7
1976,15003.4
1977,16353.2
1978,18337.4
1979,21141.2
1980,25869.6
1981,30352
1982,33981.2
1983,38058
1984,41730.4
1985,40862.8
1986,40892.7
1987,45549.5
1988,53432.3
1989,61308.5
1990,70492.3
1991,78542.8
1992,84920.2
1993,97923.1
1994,112555.4
1995,124463.3
1996,135777.2
1997,148664.4
1998,143474.9
1999,146252.5
2000,165632.4
2001,160885.6
2002,165698.1
2003,170117.9
2004,194433
2005,212723.0
2006,236158.8
2007,272697.6
2008,273941.6
2009,282394.5
2010,326980.1
2011,351367.9
2012,368770.5
2013,384870.3
2014,398947.9
2015,423444.1
2016,440467.0
2017,473915.7
2018,508495.1
2019,512219.9
2020,476404.8
2021,533351.9
